rosbagTimestamp,name,pose,position,x,y,z,orientation,x,y,z,w,position,x,y,z,orientation,x,y,z,w,twist,linear,x,y,z,angular,x,y,z,linear,x,y,z,angular,x,y,z
28000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-2.58498460365E-21,0.2502956,,-8.05004525836E-21,-9.24672160502E-18,7.2325395822E-22,1,,,0,0,0,,0,0,0,,-1.31433200754E-15,3.31661538454E-18,-0.2646,,1.72547033331E-17,1.13205295982E-14,6.24038762085E-18
29000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-7.05182206144E-21,0.2500212,,-2.34936821803E-20,-9.28407522925E-18,1.92687188534E-21,1,,,0,0,0,,0,0,0,,1.79891295937E-16,-4.46683745779E-18,-0.2744,,-3.08872738438E-17,-7.4707248447E-17,2.40723585424E-18
30000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-7.04161789505E-21,0.249737,,-2.94367464801E-20,-1.03467190948E-17,3.52617704104E-21,1,,,0,0,0,,0,0,0,,3.32870559615E-16,1.02041663849E-20,-0.2842,,-1.18861285996E-17,-2.12528773112E-15,3.19861031139E-18
31000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-1.34843396337E-20,0.249443,,-4.96693870611E-20,-7.99596065843E-18,4.40829763048E-22,1,,,0,0,0,,0,0,0,,-6.28810832969E-16,-6.44272173865E-18,-0.294,,-4.04652811621E-17,4.70151687275E-15,-6.17069455598E-18
32000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-1.25774172818E-20,0.2491392,,-5.46424992079E-20,-1.15893232011E-17,4.93129960577E-21,1,,,0,0,0,,0,0,0,,9.29235722461E-16,9.06922351859E-19,-0.3038,,-9.94622429362E-18,-7.18672508532E-15,8.98093968545E-18
33000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-1.43357699424E-20,0.2488256,,-6.46874666715E-20,-1.63948893172E-17,4.80683654868E-21,1,,,0,0,0,,0,0,0,,1.15601455919E-15,-1.7583526606E-18,-0.3136,,-2.00899349271E-17,-9.61113223226E-15,-2.48926114191E-19
34000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-1.84737348804E-20,0.2485022,,-8.14963961677E-20,-2.3535477936E-17,4.41547253227E-21,1,,,0,0,0,,0,0,0,,1.69091558127E-15,-4.13796493799E-18,-0.3234,,-3.36178589925E-17,-1.42811772375E-14,-7.82728032824E-19
35000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-1.68193938899E-20,0.248169,,-7.90049600262E-20,-2.83287338756E-17,3.88808176736E-21,1,,,0,0,0,,0,0,0,,1.02811592964E-15,1.65434099056E-18,-0.3332,,4.98287228311E-18,-9.58651187917E-15,-1.05478152981E-18
36000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-2.44270201581E-20,0.247826,,-9.56961702367E-20,-2.61313799624E-17,-2.34995769685E-21,1,,,0,0,0,,0,0,0,,-7.29155288746E-16,-7.60762626822E-18,-0.343,,-3.33824204211E-17,4.39470782622E-15,-1.24760789284E-17
37000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-3.09414415065E-20,0.2474732,,-1.15028321922E-19,-2.27480675031E-17,-2.8604260289E-21,1,,,0,0,0,,0,0,0,,-8.55218544755E-16,-6.51442134844E-18,-0.3528,,-3.86643033699E-17,6.76662491869E-15,-1.0209366641E-18
