Torque_L,Torque_R,Chair_LinVel,Chair_AngVel,AngVel_L,AngVel_R
-0.10557191752588,-0.135145246171238,-0.00752503188727008,-0.00197968519577635,-0.0234337019610866,-0.0267331772873806
-0.101370803536784,-0.136995381219361,-0.0077841968984988,-0.00199296161101421,-0.0242865216524842,-0.0276081243375078
-0.0963716378027515,-0.138762934662496,-0.00804289482177208,-0.00201036378609603,-0.0251343462508269,-0.028484952560987
-0.0905912306389661,-0.140390782670015,-0.00830096991342903,-0.00203235558853369,-0.0259762700543187,-0.0293635293685415
-0.0840557854829838,-0.141828693226631,-0.00855825973435376,-0.00205934877744076,-0.0268114084666452,-0.0302436564290465
-0.0768011680643221,-0.143033635596603,-0.00881459802801159,-0.00209170150465721,-0.027638908839491,-0.0311250780139196
-0.0688729731420438,-0.143969900685975,-0.00906981769084677,-0.00212971684946292,-0.0284579615949368,-0.032007489677375
-0.0603263766588906,-0.144609044162086,-0.0093237537661714,-0.00217364139792778,-0.0292678113889648,-0.0328905470521778
-0.0512257609646499,-0.144929669830043,-0.0095762463927585,-0.00222366389472796,-0.0300677680635884,-0.0337738745548017
-0.0416441049236192,-0.144917076917498,-0.00982714364050569,-0.00227991401559834,-0.0308572171220204,-0.0346570738146843
-0.0316621397828213,-0.144562801073223,-0.0100763041686147,-0.00234246132977106,-0.0316356294539065,-0.0355397316701916
-0.0213672843467953,-0.14386408376943,-0.0103235996475411,-0.00241131454044453,-0.0324025700414334,-0.0364214276088409
-0.0108523868596176,-0.142823307056843,-0.0105689168948297,-0.00248642110432909,-0.0331577053958248,-0.0373017405697066
-0.000214313467628671,-0.14144742961613,-0.0108121596865371,-0.00256766733623127,-0.0339008095082643,-0.0381802550686497
0.0104475676526517,-0.13974745617324,-0.0110532502194054,-0.00265487910042164,-0.0346317681476665,-0.0390565666483693
0.0210329522515397,-0.137737966725701,-0.0112921302132113,-0.00274782317765142,-0.0353505813959948,-0.0399302866920805
0.0314421602883756,-0.135436725856309,-0.0115287616568024,-0.00284620937680552,-0.0360573643753366,-0.0408010466700125
0.0415776356097863,-0.132864386249996,-0.0117631272145384,-0.00294969343537069,-0.0367523461856524,-0.0416685019112703
0.0513453317314507,-0.130044293960901,-0.0119952303218081,-0.00305788072459669,-0.0374358671355298,-0.0425323350098576
0.0606559320930482,-0.127002395007949,-0.0122250950087615,-0.00317033074356043,-0.0381083744095714,-0.0433922589821721
0.0694258555676479,-0.123767232958311,-0.0124527655001152,-0.00328656235040304,-0.0387704163750481,-0.0442480202923865
0.0775780033949153,-0.120370015979832,-0.0126783056453339,-0.00340605963825669,-0.0394226357858991,-0.0450994018496602
0.0850422148115265,-0.116844721320956,-0.0129017982369114,-0.00352827831941125,-0.0400657621901953,-0.0459462260558807
0.0917554171497191,-0.113228197788105,-0.0131233442739876,-0.00365265243879492,-0.0407006038809629,-0.0467883579456211
0.0976614813768688,-0.109560224643605,-0.0133430622234706,-0.00377860120412757,-0.0413280397414625,-0.0476257084150084
